PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True
0001_01,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,0,1,0,1,0,0,0,1,1,0
0002_01,F/0/S,24.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,1,0,0,1,0,0,0,1,1,0
0003_01,A/0/S,58.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,0,1,0,1,0,0,0,1,0,1
0003_02,A/0/S,33.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,0,1,0,1,0,0,0,1,1,0
0004_01,F/1/S,16.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,1,0,0,1,0,0,0,1,1,0
0005_01,F/0/P,44.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,1,0,0,1,0,0,1,0,1,0
0006_01,F/2/S,26.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,1,0,0,1,0,0,0,1,1,0
0006_02,G/0/S,28.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,1,1,0,0,0,1,0,0,1,1,0
0007_01,F/3/S,35.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,1,0,0,1,0,0,0,1,1,0
0008_01,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,0,1,0,0,1,1,0,0,1,0
0008_02,B/1/P,34.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,1,0,1,0,0,1,0,0,1,1,0
0008_03,B/1/P,45.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,0,1,0,1,0,1,0,0,1,0
0009_01,F/1/P,32.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,0,0,1,1,0,0,0,1,1,0
0010_01,G/1/S,48.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,1,0,0,1,0,0,0,1,1,0
0011_01,F/2/P,28.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,1,0,0,1,0,0,0,1,1,0
0012_01,,31.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,1,0,0,1,0,0,0,1,1,0
0014_01,F/3/P,27.0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,0,0,0,1,1,0,1,0,0,1,0
0015_01,F/4/P,24.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0,1,0,0,1,0,1,0,0,1,0
0016_01,F/5/P,45.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,0,0,1,0,1,0,0,1,1,0
0017_01,G/0/P,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,1,0,0,1,0,0,0,1,1,0
0017_02,F/6/P,14.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0,1,0,0,1,0,1,0,0,1,0
0020_01,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,1,0,0,0,1,0,0,1,1,0
0020_02,E/0/S,49.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0,1,0,0,0,1,1,0,0,1,0
0020_03,E/0/S,29.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,0,1,0,0,0,1,1,0,0,1,0
